FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03213072811615575,0.04957718239385495,0.4570559181843251,0.21380100888037654,2.2565184417405773,3.609862524585808,3.202524964341543,1.3097912443069435,2.056186885117624,1.7215712284508404
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290514813603083e-05,6.131135900899254e-06,1.7288128037399504e-06,7.764145258559356e-09,6.536117762530319e-10,7.493366907019232e-13,1.2750201314303643e-08,4.0843701951699523e-10,2.8582713977611485e-13,1.673300358768069e-16
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.000461018462483109,0.00035589404906499425,0.0006588479025349583,2.0105422694026246e-05,1.455688586118685e-05,1.7601755510043776e-07,8.804134735553273e-10,8.61615788655898e-06,5.49662587481731e-08,2.2091382458904266e-10
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914910499238,0.00017815517375240135,0.00024064796802844172,5.564116915202667e-06,2.7121800025129912e-06,2.181291743221043e-08,8.296904840814686e-11,1.7227092252792957e-06,8.082271630380843e-09,2.5236463874073764e-11
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993334570741218,0.001001664158553038,0.003089331649783074,0.00016612863938521275,0.00020944726362841844,5.048039005214359e-06,4.529161794314696e-08,0.00013178919822797835,1.7238226276353026e-06,1.2450803358012155e-08
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465272654846,0.002176337117525824,0.00869685750026291,0.0006301740444553,0.0010263397314655355,3.566346227449881e-05,4.206647685319884e-07,0.0007980624138349033,1.5994542333020462e-05,1.54473622647402e-07
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022628411561766795,0.003341452753867948,0.015345901674070132,0.0014240404740578022,0.0025177891610317945,9.61384662026655e-05,1.2504680269194924e-06,0.0015653563516605821,3.575735644276287e-05,3.8311976206299574e-07
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002904589286247027,0.00453284934036219,0.02368520889477704,0.0024244307425410885,0.0050375843750412085,0.00024211421025779444,3.773320647851643e-06,0.0033636990450567755,9.285075112377457e-05,1.1666335730079101e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030228142289033884,0.00505317695243809,0.035803530459172186,0.005804309861640368,0.02125789423819571,0.0022626850969636515,6.817836873709465e-05,0.012878179795074246,0.0006206527105805307,1.3697016621725929e-05
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863464163585913,0.011117250125686762,0.09889481605324088,0.024950164700798794,0.14366123136322223,0.036660242638275796,0.0036843457090424076,0.11208319933277539,0.017713206937012452,0.0015148588801387741
